intern_id,department,location,duration,mentor_meetings,status
396,Web Dev,Hawaii,6,9,Dropped Out
397,Marketing,New York,6,6,Completed
398,Web Dev,Nebraska,6,10,Completed
399,Data Science,Illinois,3,9,Completed
400,Engineering,Washington,3,4,Dropped Out
401,Design,New York,3,8,Dropped Out
402,Web Dev,Alaska,3,3,Completed
403,Data Science,New Jersey,3,4,Completed
404,Design,Alaska,3,10,Completed
405,Engineering,Illinois,3,4,Dropped Out
406,Design,New York,3,6,Dropped Out
407,Data Science,Alaska,6,9,Completed
408,HR,Alaska,3,6,Dropped Out
409,HR,Nebraska,3,1,Dropped Out
410,Design,Nebraska,6,5,Dropped Out
411,Marketing,New York,3,9,Completed
412,Design,Illinois,6,5,Completed
413,Web Dev,Texas,3,6,Completed
414,Web Dev,California,3,3,Completed
415,HR,Michigan,3,8,Dropped Out
416,Marketing,Washington,3,10,Completed
417,Data Science,Michigan,6,4,Completed
418,Web Dev,Hawaii,9,4,Dropped Out
419,HR,Nebraska,3,5,Completed
420,Engineering,New York,3,10,Completed
421,HR,Michigan,6,9,Completed
422,Web Dev,Illinois,3,8,Completed
423,Web Dev,Washington,9,7,Completed
424,HR,Michigan,3,5,Completed
425,Data Science,Washington,9,9,Completed
426,Design,New Jersey,3,9,Dropped Out
427,Web Dev,Illinois,3,10,Completed
428,HR,California,9,10,Completed
429,HR,Alaska,6,2,Completed
430,Marketing,Washington,6,4,Dropped Out
431,Design,Illinois,6,8,Dropped Out
432,Engineering,Washington,6,1,Completed
433,Data Science,Washington,3,5,Completed
434,Engineering,Texas,6,8,Dropped Out
435,Design,Texas,3,2,Dropped Out
436,Design,Illinois,9,2,Dropped Out
437,Design,Texas,9,8,Dropped Out
438,Engineering,Hawaii,3,10,Completed
439,Design,California,3,9,Dropped Out
440,HR,New York,3,7,Dropped Out
441,Engineering,Illinois,3,8,Completed
442,Design,Illinois,9,5,Dropped Out
443,HR,Hawaii,3,1,Dropped Out
444,Marketing,Nebraska,3,4,Completed
445,Design,Nebraska,9,2,Dropped Out
446,Engineering,Texas,9,3,Dropped Out
447,Web Dev,New York,6,3,Dropped Out
448,Design,Texas,6,9,Dropped Out
449,Web Dev,New Jersey,6,10,Completed
450,HR,New Jersey,9,4,Completed
451,Marketing,Alaska,6,2,Dropped Out
452,Data Science,New Jersey,6,3,Dropped Out
453,Marketing,Nebraska,3,3,Completed
454,Design,California,3,7,Dropped Out
455,Web Dev,New Jersey,6,8,Completed
456,Web Dev,Texas,9,6,Dropped Out
457,Engineering,Washington,9,4,Dropped Out
458,Web Dev,Illinois,9,6,Dropped Out
459,Engineering,California,6,1,Dropped Out
460,HR,California,6,10,Dropped Out
461,Data Science,Texas,9,8,Completed
462,Design,Illinois,6,1,Dropped Out
463,Engineering,Nebraska,3,5,Completed
464,Data Science,California,3,2,Completed
465,Web Dev,Alaska,9,6,Dropped Out
466,Web Dev,Texas,3,9,Completed
467,Data Science,California,9,5,Dropped Out
468,Web Dev,New York,3,4,Completed
469,HR,Illinois,6,2,Dropped Out
470,HR,New Jersey,6,3,Completed
471,Data Science,California,6,6,Completed
472,Engineering,Texas,3,8,Completed
473,Engineering,New Jersey,9,8,Dropped Out
474,Data Science,Alaska,6,5,Completed
475,Engineering,New Jersey,3,5,Completed
476,Engineering,New York,6,10,Dropped Out
477,HR,Nebraska,3,3,Dropped Out
478,Engineering,California,3,7,Dropped Out
479,Marketing,Michigan,3,6,Completed
480,Design,Michigan,9,1,Dropped Out
481,Web Dev,New Jersey,6,4,Dropped Out
482,Marketing,Hawaii,6,6,Completed
483,Engineering,Illinois,3,6,Completed
484,HR,Michigan,3,3,Completed
485,Data Science,Hawaii,9,6,Dropped Out
486,Engineering,Michigan,6,10,Completed
487,HR,Hawaii,9,6,Dropped Out
488,Design,Illinois,3,9,Completed
489,Engineering,Washington,3,9,Completed
490,Data Science,Michigan,9,2,Dropped Out
491,HR,New York,6,4,Completed
492,HR,California,3,9,Completed
493,HR,Hawaii,3,4,Dropped Out
494,Design,California,9,8,Dropped Out
495,Engineering,Texas,3,10,Completed
496,Design,Texas,6,3,Dropped Out
497,Web Dev,Illinois,3,3,Dropped Out
498,Web Dev,Hawaii,3,9,Completed
499,Engineering,Alaska,9,10,Completed
500,Design,Texas,3,8,Dropped Out
501,Data Science,Illinois,6,1,Completed
502,HR,Texas,9,10,Dropped Out
503,HR,Texas,3,2,Dropped Out
504,Engineering,Alaska,3,3,Completed
505,Web Dev,Michigan,6,2,Completed
506,Web Dev,New Jersey,3,3,Completed
507,HR,Washington,3,8,Dropped Out
508,Engineering,Texas,3,6,Completed
509,Design,Texas,6,7,Completed
510,Web Dev,New York,6,10,Completed
511,Design,Washington,6,10,Completed
512,Web Dev,Alaska,3,6,Completed
513,Web Dev,California,6,1,Completed
514,Marketing,Hawaii,9,3,Dropped Out
515,Web Dev,Texas,6,1,Completed
516,Data Science,New Jersey,6,10,Completed
517,Engineering,Hawaii,6,9,Dropped Out
518,Engineering,Washington,9,9,Dropped Out
519,Design,Hawaii,9,5,Dropped Out
520,Web Dev,Michigan,3,4,Completed
521,Data Science,Texas,3,9,Completed
522,Design,Hawaii,3,9,Completed
523,Marketing,California,3,3,Dropped Out
524,Design,California,3,5,Completed
525,Design,Texas,9,3,Dropped Out
526,Web Dev,Nebraska,3,10,Completed
527,Marketing,California,6,2,Completed
528,Design,Hawaii,6,1,Dropped Out
529,Data Science,Illinois,3,10,Completed
530,Data Science,California,9,2,Completed
531,Engineering,Washington,9,8,Dropped Out
532,Marketing,Nebraska,3,8,Completed
533,Marketing,Hawaii,3,3,Completed
534,Engineering,Alaska,3,7,Dropped Out
535,Design,New York,6,7,Completed
536,Marketing,Alaska,3,2,Completed
537,Data Science,Michigan,6,9,Completed
538,Data Science,New York,9,3,Dropped Out
539,Web Dev,Michigan,3,2,Dropped Out
540,Marketing,New York,9,3,Dropped Out
541,Design,New York,3,2,Dropped Out
542,Engineering,Illinois,9,8,Dropped Out
543,Engineering,New Jersey,3,5,Completed
544,Design,Washington,6,3,Dropped Out
545,HR,Alaska,3,5,Completed
546,Web Dev,California,9,8,Dropped Out
547,Engineering,Hawaii,6,7,Dropped Out
548,Marketing,Nebraska,3,6,Completed
549,Web Dev,Washington,6,1,Completed
550,Marketing,Michigan,3,10,Completed
551,Data Science,Illinois,6,1,Dropped Out
552,Web Dev,Michigan,9,1,Dropped Out
553,Engineering,New Jersey,3,10,Completed
554,Web Dev,Nebraska,3,8,Completed
555,Web Dev,Illinois,3,8,Completed
556,Web Dev,Michigan,6,7,Dropped Out
557,HR,New Jersey,3,6,Completed
558,Web Dev,Hawaii,3,4,Dropped Out
559,Marketing,Hawaii,3,1,Completed
560,Data Science,Michigan,3,9,Completed
561,Design,Washington,9,1,Dropped Out
562,Web Dev,Nebraska,3,4,Dropped Out
563,Engineering,Texas,6,3,Completed
564,Web Dev,Washington,6,7,Completed
565,Engineering,Hawaii,6,5,Completed
566,Marketing,Nebraska,3,5,Completed
567,Engineering,New Jersey,6,4,Completed
568,Design,Illinois,9,1,Dropped Out
569,Data Science,New York,3,5,Completed
570,Engineering,Michigan,3,4,Dropped Out
571,Engineering,Alaska,3,10,Completed
572,Data Science,Nebraska,3,8,Completed
573,Design,California,3,2,Completed
574,Web Dev,New Jersey,6,8,Dropped Out
575,Engineering,Texas,3,1,Completed
576,Data Science,New York,6,4,Dropped Out
577,Marketing,California,6,3,Dropped Out
578,Data Science,Texas,3,5,Completed
579,Marketing,Alaska,6,5,Completed
580,Design,Hawaii,3,5,Dropped Out
581,Web Dev,Washington,9,4,Dropped Out
582,Data Science,Michigan,3,8,Completed
583,HR,Illinois,6,3,Dropped Out
584,Engineering,Texas,9,4,Dropped Out
585,Design,New York,3,1,Completed
586,Data Science,Nebraska,3,7,Completed
587,Engineering,Hawaii,6,1,Dropped Out
588,Data Science,Nebraska,3,2,Completed
589,Marketing,New York,9,7,Completed
590,Data Science,Nebraska,9,1,Dropped Out
591,HR,Texas,3,3,Dropped Out
592,Data Science,New Jersey,3,6,Completed
593,Data Science,Nebraska,3,6,Completed
594,HR,Washington,3,6,Completed
595,Design,Alaska,6,2,Dropped Out
596,Data Science,Illinois,6,2,Completed
597,HR,Texas,3,6,Completed
598,Engineering,California,3,10,Completed
599,Marketing,New York,3,5,Completed
600,Marketing,Hawaii,3,7,Completed
601,Data Science,Texas,9,7,Dropped Out
602,Design,New Jersey,3,5,Dropped Out
603,Design,Hawaii,9,8,Dropped Out
604,Engineering,Washington,6,10,Dropped Out
605,Data Science,New York,6,6,Completed
606,Marketing,Hawaii,3,5,Completed
607,Design,Nebraska,6,4,Dropped Out
608,Data Science,Texas,6,7,Dropped Out
609,Design,Alaska,6,4,Dropped Out
610,HR,New York,3,5,Dropped Out
611,Design,Michigan,3,5,Dropped Out
612,Marketing,Washington,6,1,Dropped Out
613,Web Dev,Illinois,3,1,Completed
614,Engineering,New York,3,3,Completed
615,Engineering,New Jersey,9,3,Dropped Out
616,Marketing,Texas,3,2,Dropped Out
617,Design,Nebraska,3,2,Dropped Out
618,Data Science,Illinois,3,6,Completed
619,Design,Illinois,6,1,Dropped Out
620,Marketing,Washington,3,6,Dropped Out
621,Engineering,Hawaii,6,5,Dropped Out
622,Design,New Jersey,3,6,Completed
623,Engineering,Hawaii,3,5,Completed
624,Data Science,Nebraska,6,7,Completed
625,Engineering,Illinois,3,1,Dropped Out
626,Engineering,New Jersey,9,3,Dropped Out
627,Web Dev,New Jersey,3,6,Dropped Out
628,Web Dev,California,3,1,Completed
629,HR,Texas,3,7,Completed
630,Web Dev,Illinois,3,4,Completed
631,Engineering,Illinois,9,3,Dropped Out
632,Marketing,New Jersey,9,10,Dropped Out
633,Engineering,Hawaii,3,9,Completed
634,Marketing,Illinois,6,1,Dropped Out
635,Marketing,New Jersey,6,8,Dropped Out
636,Web Dev,Illinois,3,1,Completed
637,Design,New Jersey,3,5,Dropped Out
638,Data Science,California,9,10,Completed
639,Web Dev,Texas,9,8,Completed
640,Web Dev,New Jersey,9,6,Dropped Out
641,Design,Illinois,6,7,Completed
642,Data Science,Nebraska,6,8,Completed
643,Engineering,Texas,3,6,Completed
644,HR,California,3,6,Completed
645,HR,New Jersey,3,6,Dropped Out
646,Engineering,Nebraska,6,5,Dropped Out
647,Web Dev,New Jersey,6,8,Completed
648,Data Science,Hawaii,9,2,Dropped Out
649,Web Dev,Illinois,9,7,Dropped Out
650,Marketing,New York,9,4,Dropped Out
651,Web Dev,Washington,9,1,Dropped Out
652,Web Dev,Alaska,3,5,Dropped Out
653,Engineering,Hawaii,6,3,Dropped Out
654,Engineering,Nebraska,6,4,Dropped Out
655,Engineering,Hawaii,3,7,Dropped Out
656,HR,Michigan,9,5,Completed
657,Marketing,New Jersey,9,4,Completed
658,Engineering,New Jersey,3,1,Completed
659,Data Science,Alaska,3,6,Completed
660,HR,Alaska,6,10,Completed
661,Design,Michigan,6,6,Dropped Out
662,Data Science,Illinois,9,7,Completed
663,Data Science,Washington,3,1,Completed
664,Engineering,New York,3,4,Completed
665,Design,New York,3,9,Completed
666,Design,California,3,10,Completed
667,HR,California,3,6,Completed
668,Design,Illinois,9,2,Dropped Out
669,Marketing,California,3,4,Dropped Out
670,Engineering,California,3,6,Completed
671,Design,Michigan,3,4,Dropped Out
672,HR,Michigan,3,10,Completed
673,Marketing,California,9,7,Dropped Out
674,Web Dev,Hawaii,6,3,Dropped Out
675,Web Dev,Texas,6,6,Dropped Out
676,Marketing,Texas,3,4,Dropped Out
677,HR,Illinois,3,3,Dropped Out
678,Marketing,New York,3,3,Dropped Out
679,Engineering,Alaska,3,2,Dropped Out
680,Engineering,Illinois,9,3,Dropped Out
681,Web Dev,California,3,10,Completed
